District,Similar District 1,Similar District 2,Similar District 3,Similar District 4,Similar District 5
McNairy County,Henderson County,Weakley County,Tipton County,McKenzie SSD,Lawrence County
Macon County,Cumberland County,Cannon County,Putnam County,White County,Smith County
Jackson-Madison County,Fayette County,Haywood County,Hardeman County,Dyersburg City,Union City
Marion County,Polk County,McMinn County,Weakley County,Henderson County,Morgan County
Richard City,Marion County,Oneida SSD,Dyer County,Henry County,Bradley County
Marshall County,Lincoln County,Coffee County,Franklin County,Giles County,Jefferson County
Maury County,Coffee County,Johnson City,Fayetteville City,Franklin County,Marshall County
Meigs County,Grundy County,Greene County,Decatur County,Hollow Rock - Bruceton,Jackson County
Monroe County,Grainger County,Union County,Morgan County,Campbell County,Claiborne County
Sweetwater City,Grainger County,Clinton City,Hollow Rock - Bruceton,Greene County,Meigs County
Montgomery County,Dickson County,Bartlett City,Millington City,Sumner County,Alcoa City
Moore County,Coffee County,Tullahoma City,Wayne County,Lawrence County,Bristol City
Morgan County,Campbell County,Monroe County,Grainger County,Union County,Claiborne County
Obion County,Weakley County,South Carroll SSD,Henry County,McKenzie SSD,Henderson County
Union City,Trenton SSD,Fayette County,Crockett County,Lexington City,Fayetteville City
Overton County,Lewis County,Clay County,Union County,Cumberland County,Smith County
Perry County,Hickman County,Carter County,Houston County,Roane County,Lewis County
Pickett County,Smith County,White County,Fentress County,Henderson County,Cannon County
Polk County,Marion County,McMinn County,Campbell County,Morgan County,Monroe County
Putnam County,Warren County,Macon County,Unicoi County,Robertson County,DeKalb County
Rhea County,Bradley County,Jefferson County,McMinn County,Polk County,Marshall County
Dayton City,DeKalb County,Loudon County,Robertson County,Johnson City,Lebanon SSD
Roane County,Anderson County,Houston County,Hickman County,Union County,Carter County
Robertson County,Lebanon SSD,DeKalb County,Putnam County,Dayton City,Loudon County
Rutherford County,Sumner County,Knox County,Hamilton County,Robertson County,Wilson County
Murfreesboro City,Lebanon SSD,Robertson County,Johnson City,Cleveland City,Dayton City
Scott County,Campbell County,Claiborne County,Morgan County,Union County,Monroe County
Oneida SSD,Campbell County,Dyer County,Richard City,Blount County,Scott County
Sequatchie County,West Carroll SSD,Perry County,Houston County,Dickson County,Roane County
Sevier County,Jefferson County,Loudon County,Blount County,Johnson City,Rhea County
Shelby County,Davidson County,Hamilton County,Knox County,Rutherford County,Jackson-Madison County
Arlington City,Germantown City,Collierville City,Chester County,Bartlett City,Wilson County
Bartlett City,Collierville City,Chester County,Dickson County,Arlington City,Stewart County
Collierville City,Arlington City,Germantown City,Bartlett City,Wilson County,Chester County
Germantown City,Arlington City,Collierville City,Chester County,Wilson County,Bartlett City
Lakeland City,Collierville City,Wayne County,Huntingdon SSD,Decatur County,Bartlett City
Millington City,Lauderdale County,Warren County,Milan SSD,Alcoa City,Bartlett City
Smith County,Cannon County,Cumberland County,Pickett County,Trousdale County,White County
Stewart County,Houston County,Humphreys County,Cheatham County,Dickson County,Washington County
Sullivan County,Hawkins County,Elizabethton City,Greene County,Bristol City,Cocke County
Bristol City,Elizabethton City,Hawkins County,Sullivan County,Newport City,Washington County
Kingsport City,Bristol City,Elizabethton City,Sullivan County,Anderson County,Benton County
Sumner County,Wilson County,Cheatham County,Dickson County,Washington County,Robertson County
Tipton County,Henderson County,McNairy County,Trousdale County,Weakley County,Huntingdon SSD
Trousdale County,Cannon County,Smith County,Cumberland County,Clay County,White County
Unicoi County,Putnam County,Macon County,Warren County,Greene County,Johnson County
Union County,Monroe County,Claiborne County,Morgan County,Campbell County,Grainger County
